gene,event_type,exons,delta_PSI,p_value,mean_tumor,mean_normal,n_tumor,n_normal,p_adj
AKT2,ES,3.1:3.2,-0.016342580645161253,0.3031412796230354,0.9043974193548387,0.92074,155,5,0.44579599944564025
FGFR1,ES,5,-0.0159022972972973,0.0010943249866385556,0.006977702702702702,0.02288,148,5,0.006657508542025082
EGFR,AT,32,-0.015537419354838766,0.32432643199675526,0.9667425806451613,0.98228,155,5,0.46332347428107895
SRSF3,AT,7,0.015494193548387214,0.4831853862642045,0.8715941935483872,0.8561,155,5,0.6413965304392095
HRAS,ES,6,0.0148406451612903,0.2392667263704088,0.1356406451612903,0.12079999999999999,155,5,0.37778956795327706
FGFR1,AP,1,0.014030657894736787,0.10386104925373006,0.9322506578947368,0.91822,152,5,0.18998972424462818
AKT1,RI,2.4,-0.013329333333333346,0.28045486842800427,0.06359066666666666,0.07692,150,5,0.4206823026420064
SRSF9,ES,3,-0.013290322580645166,0.0001937995383278038,0.008049677419354839,0.021340000000000005,155,5,0.002476402369487425
BCL2L1,AD,2.4,-0.013132258064516011,0.004809181905351832,0.974207741935484,0.98734,155,5,0.020038257938965968
SRSF1,AD,1.2,-0.01198387096774194,0.027487255190266117,0.015716129032258063,0.027700000000000002,155,5,0.07233488207964768
BCL2,AT,2,-0.011754193548387026,0.6614962533739623,0.956705806451613,0.96846,155,5,0.7691816899697237
PTBP1,AA,9.1,-0.011712258064516257,0.0300454123842667,0.9822877419354837,0.994,155,5,0.07346111433838726
HNRNPA1,ES,8,0.011656129032258086,0.54969209314468,0.08915612903225807,0.07749999999999999,155,5,0.6848977480021694
SRSF7,AP,1,0.011436774193548271,0.026962355782939745,0.9963567741935483,0.98492,155,5,0.07233488207964768
TP53,AA,2.1,-0.010867532467532581,0.027364314220813223,0.9891324675324674,1.0,154,4,0.07233488207964768
HSP90AA1,AT,13,0.010271612903225757,0.00110984110305146,0.9932516129032258,0.9829800000000001,155,5,0.006657508542025082
HNRNPH1,ES,2,-0.010050967741935488,0.0991998863657098,0.014089032258064514,0.02414,155,5,0.18599978693570587
SRSF5,AA,7.1,-0.009963225806451613,0.029834538361731607,0.01723677419354839,0.027200000000000002,155,5,0.07346111433838726
FGFR2,AP,1,0.009759610389610485,0.06758849566906701,0.9752396103896105,0.96548,154,5,0.13264693944807196
HNRNPH1,ES,5,-0.00960774193548386,0.6100804426121328,0.9502922580645161,0.9599,155,5,0.7410544354352138
CDK4,ES,3.1:3.2,0.009145806451612781,7.789940084720269e-05,0.9990858064516128,0.98994,155,5,0.002476402369487425
FGFR1,ME,12.1:12.2|13,0.009026451612903228,0.6203810795727636,0.017006451612903227,0.00798,155,5,0.7411255862624376
HRAS,RI,7.2,0.008824516129032234,0.6448537515060582,0.13650451612903225,0.12768000000000002,155,5,0.7556879900461618
