gene,event_type,exons,delta_PSI,p_value,mean_tumor,mean_normal,n_tumor,n_normal,p_adj
CD44,ES,3.1:3.2,-0.0002419354838707477,0.20662624952470343,0.9997580645161293,1.0,155,5,0.3405927189967639
PMS2,ES,8:9:10:11.1:11.2,-0.00021548387096770316,0.7304844338875227,0.9997845161290323,1.0,155,5,0.8238546246851759
MAPK1,ES,6,-0.00019741935483863493,0.63805170115554,0.9998025806451614,1.0,155,5,0.7536043714435512
SOX2,RI,1.2,-0.00018675496688735915,0.7671790172546731,0.9998132450331126,1.0,151,5,0.8587824820014998
CDK4,ES,3.2:4:5.1,-0.00012709677419353582,0.19926742636794081,0.9998729032258065,1.0,155,5,0.3321123772799014
HSP90AA1,ES,5,9.483870967752495e-05,0.867774688880401,0.9998948387096774,0.9997999999999999,155,5,0.9297585952290011
RHOA,ES,3,6.516129032274609e-05,0.5109995185718551,0.9968051612903227,0.99674,155,5,0.6607752395325712
FGFR2,ES,15,4.0740740740740494e-05,0.3220063687936735,0.015920740740740742,0.015880000000000002,135,5,0.46332347428107895
SRSF1,ES,2.2:3.1:3.3:3.4,-2.0000000000131024e-05,0.8857498154299113,0.9999799999999999,1.0,155,5,0.9409827771730283
CDKN2A,AD,5.5,-1.2337662337547073e-05,0.7296268626893025,0.9999876623376625,1.0,154,5,0.8238546246851759
PMS2,ES,11.2:12:13:14.1,0.0,1.0,1.0,1.0,155,5,1.0
