gene	drug	regulatory approval	indication	interaction score
TP53	FENTICLOR	Not Approved	""	0.006078691029213499
TP53	PACLITAXEL	Approved	for treatment of peripheral arterial disease (PAD),DMARD,antiinflammatory agent,antineoplastic agent	0.006299734339366717
TP53	CHEMBL:CHEMBL85194	Not Approved	""	0.01924918825917608
TP53	ERLOTINIB	Approved	antineoplastic agent	0.004124826055537731
TP53	CHEMBL:CHEMBL408563	Not Approved	""	0.02309902591101129
TP53	HEXACHLOROPHENE	Approved	""	0.002816954379391621
TP53	BORTEZOMIB	Approved	antineoplastic agent	0.001358766230059488
TP53	IL-27 SUBUNIT &ALPHA;	Not Approved	""	0.2309902591101129
TP53	CHEMBL:CHEMBL195350	Not Approved	""	0.05774756477752824
TP53	PHA-680632	Not Approved	""	0.2309902591101129
TP53	CHEMBL:CHEMBL1389794	Not Approved	""	0.02309902591101129
TP53	SERTRALINE HYDROCHLORIDE	Approved	for treatment of obsessive compulsive disorder (OCD),antidepressant	0.01154951295550564
TP53	CHEMBL:CHEMBL99408	Not Approved	""	0.05774756477752824
TP53	THIMEROSAL	Approved	""	0.005021527371958978
TP53	ABIRATERONE ACETATE	Approved	antineoplastic agent	0.01649930422215092
TP53	TRICLOCARBAN	Not Approved	""	0.01649930422215092
TP53	ENZALUTAMIDE	Approved	antineoplastic agent	0.01443689119438206
TP53	ALRIZOMADLIN	Not Approved	""	0.1732426943325847
TP53	THIOUREIDOBUTYRONITRILE	Not Approved	""	0.3464853886651694
TP53	VENETOCLAX	Approved	""	0.02099911446455572
TP53	PIMASERTIB	Not Approved	""	0.02887378238876412
TP53	EPIRUBICIN	Approved	Antineoplastic Agents	0.01924918825917608
TP53	MDM2 INHIBITOR AMGMDS3	Not Approved	""	0.1154951295550564
TP53	SULCONAZOLE NITRATE	Approved	""	0.03849837651835216
TP53	TYRPHOSTIN A9	Not Approved	""	0.005249778616138931
TP53	GOSSYPOL	Not Approved	""	0.00721844559719103
TP53	LAPACHONE	Not Approved	""	0.004442120367502173
TP53	CHEMBL:CHEMBL592123	Not Approved	""	0.02887378238876412
TP53	AZD6482	Not Approved	""	0.0256655843455681
TP53	SP600125	Not Approved	""	0.05774756477752824
TP53	SELICICLIB	Not Approved	antineoplastic agent	0.03849837651835216
TP53	AZACITIDINE	Approved	antineoplastic agent	0.008662134716629235
TP53	CHEMBL:CHEMBL410484	Not Approved	""	0.01443689119438206
TP53	CHEMBL:CHEMBL1241268	Not Approved	""	0.2309902591101129
TP53	ALK INHIBITOR TAE684	Not Approved	""	0.05774756477752824
TP53	SN-38	Not Approved	""	0.01649930422215092
TP53	METHYLENE BLUE	Not Approved	""	0.01283279217278405
TP53	CINNARIZINE	Approved	Anti-Allergic Agents	0.02099911446455572
TP53	PAROXETINE HYDROCHLORIDE, HEMIHYDRATE	Approved	antidepressant	0.004619805182202259
TP53	IBRUTINIB	Approved	antineoplastic agent	0.01358766230059488
TP53	CABOZANTINIB S-MALATE	Approved	antineoplastic agent	0.01049955723227786
TP53	CAPIVASERTIB	Approved	""	0.02309902591101129
TP53	TAMOXIFEN	Approved	Hormonal,Antineoplastic Agents	0.003553696294001737
TP53	PF-04217903	Not Approved	""	0.07699675303670432
TP53	DOCETAXEL ANHYDROUS	Approved	antineoplastic agent	0.004174522755002042
TP53	GALLIC ACID	Not Approved	""	0.00962459412958804
TP53	KINETIN RIBOSIDE	Not Approved	""	0.02887378238876412
TP53	MASOPROCOL	Approved	prostate cancer,antineoplastic agent	0.002457343182022478
TP53	CHEMBL:CHEMBL259422	Not Approved	""	0.1154951295550564
TP53	INDOPROFEN	Approved	""	0.00962459412958804
TP53	LONTUCIREV	Not Approved	""	0.1154951295550564
TP53	SANGUINARIUM	Not Approved	""	0.004619805182202259
TP53	7,8-DIHYDROXYFLAVONE	Not Approved	""	0.01443689119438206
TP53	CISPLATIN	Approved	""	0.01335657960840789
TP53	3-METHOXYCATECHOL	Not Approved	""	0.01154951295550564
TP53	EPRENETAPOPT	Not Approved	""	1.039456165995508
TP53	NAVITOCLAX	Not Approved	""	0.02165533679157309
TP53	CHEMBL:CHEMBL582473	Not Approved	""	0.03849837651835216
TP53	CHEMBL:CHEMBL407501	Not Approved	""	0.1154951295550564
