Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"KAT8","Lysine Acetyltransferase 8","Protein Coding","Q9H7Z6","55","GC16P136850","1.50168752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT8"
"USP10","Ubiquitin Specific Peptidase 10","Protein Coding","Q14694","55","GC16P138241","1.50168752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP10"
"CLDN3","Claudin 3","Protein Coding","O15551","54","GC07M073768","1.50168752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN3"
"NDP","Norrin Cystine Knot Growth Factor NDP","Protein Coding","Q00604","54","GC0XM043948","1.50168752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDP"
"SH3GL2","SH3 Domain Containing GRB2 Like 2, Endophilin A1","Protein Coding","Q99962","54","GC09P017569","1.50168752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3GL2"
"TECR","Trans-2,3-Enoyl-CoA Reductase","Protein Coding","Q9NZ01","54","GC19P014517","1.50168752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TECR"
"WNT6","Wnt Family Member 6","Protein Coding","Q9Y6F9","54","GC02P218859","1.50168752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT6"
"CXCL5","C-X-C Motif Chemokine Ligand 5","Protein Coding","P42830","52","GC04M073995","1.50168752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL5"
"MBNL1","Muscleblind Like Splicing Regulator 1","Protein Coding","Q9NR56","51","GC03P152243","1.50168752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBNL1"
"SEPTIN2","Septin 2","Protein Coding","Q15019","50","GC02P243128","1.50168752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPTIN2"
"ATP1A3","ATPase Na+/K+ Transporting Subunit Alpha 3","Protein Coding","P13637","60","GC19M041966","1.4994250535965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A3"
"TPM1","Tropomyosin 1","Protein Coding","P09493","60","GC15P218417","1.4994250535965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM1"
"TJP1","Tight Junction Protein 1","Protein Coding","Q07157","58","GC15M029699","1.4994250535965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TJP1"
"RAB10","RAB10, Member RAS Oncogene Family","Protein Coding","P61026","53","GC02P026033","1.4994250535965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB10"
"RPL6","Ribosomal Protein L6","Protein Coding","Q02878","52","GC12M112320","1.4994250535965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL6"
"MIR504","MicroRNA 504","RNA Gene","","23","GC0XM138667","1.4994250535965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR504"
"CEP170B","Centrosomal Protein 170B","Protein Coding","Q9Y4F5","43","GC14P122706","1.49929761886597","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP170B"
"FOXK1","Forkhead Box K1","Protein Coding","P85037","42","GC07P004682","1.49929761886597","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXK1"
"ALKBH7","AlkB Homolog 7","Protein Coding","Q9BT30","38","GC19P006372","1.49866890907288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALKBH7"
"CTTN","Cortactin","Protein Coding","Q14247","57","GC11P070398","1.49865007400513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTTN"
"IL15","Interleukin 15","Protein Coding","P40933","55","GC04P141636","1.49865007400513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL15"
"NKX2-2","NK2 Homeobox 2","Protein Coding","O95096","54","GC20M021511","1.49865007400513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-2"
"CHUK","Component Of Inhibitor Of Nuclear Factor Kappa B Kinase Complex","Protein Coding","O15111","63","GC10M100698","1.498211145401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHUK"
"CHD7","Chromodomain Helicase DNA Binding Protein 7","Protein Coding","Q9P2D1","57","GC08P060678","1.49269998073578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD7"
"PIM3","Pim-3 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","Q86V86","53","GC22P049960","1.49269998073578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIM3"
"PBXIP1","PBX Homeobox Interacting Protein 1","Protein Coding","Q96AQ6","45","GC01M154944","1.49269998073578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PBXIP1"
"HERC3","HECT And RLD Domain Containing E3 Ubiquitin Protein Ligase 3","Protein Coding","Q15034","44","GC04P088627","1.49269998073578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HERC3"
"MIR96","MicroRNA 96","RNA Gene","","29","GC07M129774","1.49187839031219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR96"
"ITPR1","Inositol 1,4,5-Trisphosphate Receptor Type 1","Protein Coding","Q14643","61","GC03P004512","1.49048578739166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPR1"
"REEP5","Receptor Accessory Protein 5","Protein Coding","Q00765","51","GC05M112876","1.48980259895325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REEP5"
"KAT5","Lysine Acetyltransferase 5","Protein Coding","Q92993","63","GC11P065711","1.48821461200714","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT5"
"TUBGCP2","Tubulin Gamma Complex Component 2","Protein Coding","Q9BSJ2","51","GC10M133278","1.48799014091492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBGCP2"
"NR3C1","Nuclear Receptor Subfamily 3 Group C Member 1","Protein Coding","P04150","61","GC05M143277","1.48649895191193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1"
"RPL5","Ribosomal Protein L5","Protein Coding","P46777","60","GC01P097891","1.48649895191193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL5"
"KRT14","Keratin 14","Protein Coding","P02533","58","GC17M041582","1.48649895191193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT14"
"TUBB4B","Tubulin Beta 4B Class IVb","Protein Coding","P68371","57","GC09P137241","1.48649895191193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB4B"
"RALBP1","RalA Binding Protein 1","Protein Coding","Q15311","56","GC18P009465","1.48649895191193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALBP1"
"WASL","WASP Like Actin Nucleation Promoting Factor","Protein Coding","O00401","54","GC07M123681","1.48620104789734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASL"
"ANG","Angiogenin","Protein Coding","P03950","58","GC14P065095","1.48561954498291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANG"
"RBX1","Ring-Box 1","Protein Coding","P62877","55","GC22P040951","1.48561954498291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBX1"
"MSRB3","Methionine Sulfoxide Reductase B3","Protein Coding","Q8IXL7","53","GC12P087289","1.47991347312927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSRB3"
"SCD","Stearoyl-CoA Desaturase","Protein Coding","O00767","62","GC10P134681","1.47929072380066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCD"
"BMP7","Bone Morphogenetic Protein 7","Protein Coding","P18075","60","GC20M057168","1.47929072380066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP7"
"TMPO","Thymopoietin","Protein Coding","P42166","59","GC12P098515","1.47929072380066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPO"
"AZGP1","Alpha-2-Glycoprotein 1, Zinc-Binding","Protein Coding","P25311","55","GC07M107358","1.47929072380066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AZGP1"
"SST","Somatostatin","Protein Coding","P61278","54","GC03M187668","1.47929072380066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SST"
"TCF4","Transcription Factor 4","Protein Coding","P15884","59","GC18M055222","1.4791384935379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF4"
"DAZL","Deleted In Azoospermia Like","Protein Coding","Q92904","51","GC03M016586","1.47867357730865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAZL"
"MAP3K2","Mitogen-Activated Protein Kinase Kinase Kinase 2","Protein Coding","Q9Y2U5","57","GC02M127298","1.47818875312805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K2"
"IPO7","Importin 7","Protein Coding","O95373","52","GC11P009384","1.47818875312805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPO7"
"ALKBH1","AlkB Homolog 1, Histone H2A Dioxygenase","Protein Coding","Q13686","48","GC14M077672","1.47818875312805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALKBH1"
"SLC15A3","Solute Carrier Family 15 Member 3","Protein Coding","Q8IY34","44","GC11M145998","1.47818875312805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC15A3"
"MIR154","MicroRNA 154","RNA Gene","","28","GC14P123634","1.47818875312805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR154"
"MIR92B","MicroRNA 92b","RNA Gene","","27","GC01P155195","1.47818875312805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR92B"
"LINCMD1","Long Intergenic Non-Protein Coding RNA, Muscle Differentiation 1","RNA Gene","","24","GC06M052146","1.47818875312805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINCMD1"
"SNORD76","Small Nucleolar RNA, C/D Box 76","RNA Gene","","18","GC01M175244","1.47818875312805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD76"
"GLI3","GLI Family Zinc Finger 3","Protein Coding","P10071","62","GC07M041960","1.47427427768707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLI3"
"P2RX7","Purinergic Receptor P2X 7","Protein Coding","Q99572","60","GC12P141807","1.47427427768707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX7"
"ADAM33","ADAM Metallopeptidase Domain 33","Protein Coding","Q9BZ11","50","GC20M004532","1.47419881820679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM33"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","P19438","61","GC12M006328","1.4730851650238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"SRSF7","Serine And Arginine Rich Splicing Factor 7","Protein Coding","Q16629","51","GC02M038743","1.46998369693756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF7"
"EIF3D","Eukaryotic Translation Initiation Factor 3 Subunit D","Protein Coding","O15371","48","GC22M036510","1.46998369693756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3D"
"MIR454","MicroRNA 454","RNA Gene","","26","GC17M059137","1.46998369693756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR454"
"SLC29A1","Solute Carrier Family 29 Member 1 (Augustine Blood Group)","Protein Coding","Q99808","61","GC06P044219","1.46889746189117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC29A1"
"KRT1","Keratin 1","Protein Coding","P04264","60","GC12M052674","1.46889746189117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT1"
"KRT10","Keratin 10","Protein Coding","P13645","55","GC17M040818","1.46889746189117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT10"
"STC1","Stanniocalcin 1","Protein Coding","P52823","52","GC08M023841","1.46889746189117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STC1"
"EHD4","EH Domain Containing 4","Protein Coding","Q9H223","47","GC15M041895","1.46889746189117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHD4"
"NUDT21","Nudix Hydrolase 21","Protein Coding","O43809","46","GC16M056429","1.46889746189117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDT21"
"MIR1227","MicroRNA 1227","RNA Gene","","24","GC19M002234","1.46889746189117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1227"
"PON1","Paraoxonase 1","Protein Coding","P27169","59","GC07M095297","1.46850764751434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1"
"LHPP","Phospholysine Phosphohistidine Inorganic Pyrophosphate Phosphatase","Protein Coding","Q9H008","42","GC10P124461","1.46850764751434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LHPP"
"TTBK2","Tau Tubulin Kinase 2","Protein Coding","Q6IQ55","57","GC15M042738","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTBK2"
"PIP5K1A","Phosphatidylinositol-4-Phosphate 5-Kinase Type 1 Alpha","Protein Coding","Q99755","53","GC01P183464","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIP5K1A"
"PEG10","Paternally Expressed 10","Protein Coding","Q86TG7","52","GC07P094656","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEG10"
"SCAMP1","Secretory Carrier Membrane Protein 1","Protein Coding","O15126","51","GC05P078360","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAMP1"
"CEP128","Centrosomal Protein 128","Protein Coding","Q6ZU80","47","GC14M080476","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP128"
"DNAH1","Dynein Axonemal Heavy Chain 1","Protein Coding","Q9P2D7","45","GC03P069366","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH1"
"HCP5","HLA Complex P5","RNA Gene","Q6MZN7","38","GC06P031400","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCP5"
"ARRDC1-AS1","ARRDC1 Antisense RNA 1","RNA Gene","Q9H2J1","33","GC09M137615","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRDC1-AS1"
"LINC02875","Long Intergenic Non-Protein Coding RNA 2875","RNA Gene","Q86X59","33","GC17P176085","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02875"
"CTBP1-DT","CTBP1 Divergent Transcript","RNA Gene","C0HM98","30","GC04P033733","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP1-DT"
"LINC00173","Long Intergenic Non-Protein Coding RNA 173","RNA Gene","Q6ZV60","30","GC12P116533","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00173"
"RMRP","RNA Component Of Mitochondrial RNA Processing Endoribonuclease","RNA Gene","","30","GC09M037265","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMRP"
"SNHG3","Small Nucleolar RNA Host Gene 3","RNA Gene","","30","GC01P093438","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG3"
"HAND2-AS1","HAND2 Antisense RNA 1","RNA Gene","","29","GC04P173521","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAND2-AS1"
"LINC00319","Long Intergenic Non-Protein Coding RNA 319","RNA Gene","","29","GC21P043427","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00319"
"PICSAR","P38 Inhibited Cutaneous Squamous Cell Carcinoma Associated LincRNA","RNA Gene","","29","GC21M055651","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PICSAR"
"PRAC2","PRAC2 Small Nuclear Protein","Protein Coding","D3DTV9","29","GC17P175867","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRAC2"
"RHPN1-AS1","RHPN1 Antisense RNA 1","RNA Gene","Q9BWJ2","29","GC08M147717","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHPN1-AS1"
"FTX","FTX Transcript, XIST Regulator","RNA Gene","","28","GC0XM074037","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTX"
"SNHG10","Small Nucleolar RNA Host Gene 10","RNA Gene","","28","GC14M126466","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG10"
"TMEM238L","Transmembrane Protein 238 Like","Protein Coding","A6NJY4","27","GC17M103841","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM238L"
"HCG11","HLA Complex Group 11","RNA Gene","","26","GC06P199350","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG11"
"LBX2-AS1","LBX2 Antisense RNA 1","RNA Gene","","26","GC02P074498","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LBX2-AS1"
"LINC00589","Long Intergenic Non-Protein Coding RNA 589","RNA Gene","","26","GC08M029654","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00589"
"NORAD","Non-Coding RNA Activated By DNA Damage","RNA Gene","","26","GC20M038203","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NORAD"
"PCBP1-AS1","PCBP1 Antisense RNA 1","RNA Gene","","26","GC02M069962","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBP1-AS1"
"PCGEM1","PCGEM1 Prostate-Specific Transcript","RNA Gene","","26","GC02P192749","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCGEM1"
"RPL34-DT","RPL34 Divergent Transcript","RNA Gene","","26","GC04M108539","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL34-DT"
"SOX21-AS1","SOX21 Antisense RNA 1","RNA Gene","","26","GC13P094707","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX21-AS1"
"SPAAR","Small Regulatory Polypeptide Of Amino Acid Response","Protein Coding","A0A1B0GVQ0","26","GC09P085576","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPAAR"
"ST7-AS1","ST7 Antisense RNA 1","RNA Gene","","26","GC07M116943","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST7-AS1"
"TTN-AS1","TTN Antisense RNA 1","RNA Gene","","26","GC02P178521","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTN-AS1"
"ZFPM2-AS1","ZFPM2 Antisense RNA 1","RNA Gene","","26","GC08M105466","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFPM2-AS1"
"ADAMTS9-AS1","ADAMTS9 Antisense RNA 1","RNA Gene","","25","GC03P069659","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS9-AS1"
"BLACAT1","BLACAT1 Overlapping LEMD1 Locus","Protein Coding","","25","GC01M205389","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLACAT1"
"CASC11","Cancer Susceptibility 11","RNA Gene","","25","GC08M138491","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC11"
"CASC9","Cancer Susceptibility 9","RNA Gene","","25","GC08M075132","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC9"
"CPS1-IT1","CPS1 Intronic Transcript 1","RNA Gene","","25","GC02P210617","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPS1-IT1"
"GACAT3","Gastric Cancer Associated Transcript 3","RNA Gene","","25","GC02P016072","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GACAT3"
"HOXA10-AS","HOXA10 Antisense RNA","RNA Gene","","25","GC07P032413","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA10-AS"
"LINC00526","Long Intergenic Non-Protein Coding RNA 526","RNA Gene","Q96FQ7","25","GC18M005154","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00526"
"LINC01088","Long Intergenic Non-Protein Coding RNA 1088","RNA Gene","","25","GC04P079286","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01088"
"LINC01140","Long Intergenic Non-Protein Coding RNA 1140","RNA Gene","","25","GC01P087129","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01140"
"LUCAT1","Lung Cancer Associated Transcript 1","RNA Gene","","25","GC05M091054","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUCAT1"
"MAGI2-AS3","MAGI2 Antisense RNA 3","RNA Gene","","25","GC07P079452","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGI2-AS3"
"PCAT19","Prostate Cancer Associated Transcript 19","RNA Gene","","25","GC19M117943","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT19"
"SLC26A4-AS1","SLC26A4 Antisense RNA 1","RNA Gene","","25","GC07M107660","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A4-AS1"
"ZNF667-AS1","ZNF667 Antisense RNA 1","RNA Gene","","25","GC19P056477","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF667-AS1"
"AFAP1-AS1","AFAP1 Antisense RNA 1","RNA Gene","","24","GC04P034090","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFAP1-AS1"
"CASC19","Cancer Susceptibility 19","RNA Gene","","24","GC08M138483","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC19"
"EIF3J-DT","EIF3J Divergent Transcript","RNA Gene","","24","GC15M169711","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3J-DT"
"GASAL1","Growth Arrest Associated LncRNA 1","RNA Gene","","24","GC08P103921","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GASAL1"
"LINC00355","Long Intergenic Non-Protein Coding RNA 355","RNA Gene","","24","GC13M063838","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00355"
"LINC00963","Long Intergenic Non-Protein Coding RNA 963","RNA Gene","","24","GC09P160961","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00963"
"MSC-AS1","MSC Antisense RNA 1","RNA Gene","","24","GC08P071828","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSC-AS1"
"TMPO-AS1","TMPO Antisense RNA 1","RNA Gene","","24","GC12M098512","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPO-AS1"
"FGF14-AS2","FGF14 Antisense RNA 2","RNA Gene","","23","GC13P102394","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF14-AS2"
"FTH1P3","Ferritin Heavy Chain 1 Pseudogene 3","Pseudogene","","23","GC02M027392","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTH1P3"
"IRAIN","IGF1R Antisense Imprinted Non-Protein Coding RNA","RNA Gene","","23","GC15M170875","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAIN"
"LINC00662","Long Intergenic Non-Protein Coding RNA 662","RNA Gene","","23","GC19M027663","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00662"
"LINC00673","Long Intergenic Non-Protein Coding RNA 673","RNA Gene","","23","GC17M105512","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00673"
"LINC01139","Long Intergenic Non-Protein Coding RNA 1139","RNA Gene","","23","GC01M238480","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01139"
"NCK1-DT","NCK1 Divergent Transcript","RNA Gene","","23","GC03M136807","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCK1-DT"
"ROR1-AS1","ROR1 Antisense RNA 1","RNA Gene","","23","GC01M064094","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROR1-AS1"
"RPL13AP20","Ribosomal Protein L13a Pseudogene 20","Pseudogene","","23","GC12P012875","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL13AP20"
"SAMD12-AS1","SAMD12 Antisense RNA 1","RNA Gene","","23","GC08P118621","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAMD12-AS1"
"SNHG18","Small Nucleolar RNA Host Gene 18","RNA Gene","","23","GC05P009545","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG18"
"TRPM2-AS","TRPM2 Antisense RNA","RNA Gene","","23","GC21M055642","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM2-AS"
"TTTY15","Testis Expressed Transcript, Y-Linked 15","RNA Gene","","23","GC0YP012727","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTTY15"
"CCAT2","Colon Cancer Associated Transcript 2","RNA Gene","","22","GC08P127400","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT2"
"FAM87A","Family With Sequence Similarity 87 Member A","RNA Gene","P0C7U9","22","GC08M000375","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM87A"
"GAS5-AS1","GAS5 Antisense RNA 1","RNA Gene","","22","GC01P184438","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5-AS1"
"HOXC-AS2","HOXC Cluster Antisense RNA 2","RNA Gene","","22","GC12M053993","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXC-AS2"
"LINC00689","Long Intergenic Non-Protein Coding RNA 689","RNA Gene","","22","GC07P159006","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00689"
"LINC01128","Long Intergenic Non-Protein Coding RNA 1128","RNA Gene","","22","GC01P091419","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01128"
"NFIA-AS2","NFIA Antisense RNA 2","RNA Gene","","22","GC01M060649","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFIA-AS2"
"RGMB-AS1","RGMB Antisense RNA 1","RNA Gene","","22","GC05M098769","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGMB-AS1"
"SPRY4-IT1","SPRY4 Intronic Transcript 1","RNA Gene","","22","GC05M142318","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRY4-IT1"
"ELF3-AS1","ELF3 Antisense RNA 1","RNA Gene","","21","GC01M202001","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELF3-AS1"
"MINCR","MYC-Induced Long Non-Coding RNA","RNA Gene","","21","GC08M147711","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MINCR"
"PAXIP1-DT","PAXIP1 Divergent Transcript","RNA Gene","","21","GC07P170753","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAXIP1-DT"
"FAM181A-AS1","FAM181A Antisense RNA 1","RNA Gene","","20","GC14M126442","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM181A-AS1"
"GHET1","Gastric Carcinoma Proliferation Enhancing Transcript 1","RNA Gene","","20","GC07P170610","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHET1"
"LINC00210","Long Intergenic Non-Protein Coding RNA 210","RNA Gene","","20","GC01P217892","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00210"
"LINC00466","Long Intergenic Non-Protein Coding RNA 466","RNA Gene","","20","GC01M063160","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00466"
"PANDAR","Promoter Of CDKN1A Antisense DNA Damage Activated RNA","RNA Gene","","20","GC06M036673","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANDAR"
"CERNA2","Competing Endogenous LncRNA 2 For MicroRNA Let-7b","RNA Gene","","19","GC10M084153","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA2"
